Warszawa;Poznan;Poznan;Lodz;Lodz;Czestochowa;Czestochowa;Katowice;Katowice;Opole;Opole;Wroclaw
23:00;26:50:00;;;;;;;;;;
;;28:55:00;;;;;;;;;32:12:00
;;;;;; 10:40 ;;;12:45;;
;;;;;;20:05;;;22:09 ;;
;;;;;;;; 00:14;02:14;;
;;;;;;;; 01:29;03:55;;
;;;;;;;; 03:14;05:13;;
;;;;;;;; 05:14;07:13;;
;;;;;;;; 07:14;09:13;;
;;;;;;;; 08:14;10:13;;
;;;;;;;; 08:45;10:36;;
;;;;;;;; 09:12;11:08;;
;;;;;;;; 09:23;11:28;;
;;;;;;;; 11:19;13:19;;
;;;;;;;; 11:48;13:41;;
;;;;;;;; 12:53;15:13;;
;;;;;;;; 14:00;15:59;;
;;;;;;;; 15:14;17:13;;
;;;;;;;; 16:17;18:14;;
;;;;;;;; 16:46;18:42;;
;;;;;;;; 17:13;19:07;;
;;;;;;;; 18:24;20:25;;
;;;;;;;; 18:47;20:42;;
;;;;;;;; 19:31;21:27;;
;;;;;;;; 20:23;22:30;;
;;;;;;;; 21:13;23:13;;
 05:55;;;;;;;08:42;;;;
 06:35;;;;;;;09:11;;;;
 07:30;;;;;;;10:18;;;;
 08:54;;;;;;;11:50;;;;
 09:25;;;;;;;12:05;;;;
 12:31;;;;;;;15:06;;;;
 13:28;;;;;;;16:43;;;;
 14:19;;;;;;;17:10;;;;
 15:30;;;;;;;18:14;;;;
 16:45;;;;;;;19:28;;;;
 16:48;;;;;;;20:00;;;;
 17:30;;;;;;;20:11;;;;
 18:15;;;;;;;21:08;;;;
 18:55;;;;;;;23:21;;;;
 21:09;;;;;;;23:58;;;;
;;;;;;;;;; 02:15;03:18
;;;;;;;;;; 03:57;05:00
;;;;;;;;;; 04:53;06:12
;;;;;;;;;; 05:15;06:18
;;;;;;;;;; 05:53;07:12
;;;;;;;;;; 06:53;08:12
;;;;;;;;;; 07:15;08:18
;;;;;;;;;; 07:53;09:12
;;;;;;;;;; 08:53;10:12
;;;;;;;;;; 09:15;10:18
;;;;;;;;;; 09:35;10:38
;;;;;;;;;; 09:53;11:12
;;;;;;;;;; 10:15;11:18
;;;;;;;;;; 10:37;11:26
;;;;;;;;;; 11:09;11:56
;;;;;;;;;; 11:53;13:12
;;;;;;;;;; 12:47;13:50
;;;;;;;;;; 12:53;14:12
;;;;;;;;;; 13:21;14:24
;;;;;;;;;; 13:42;14:40
;;;;;;;;;; 13:53;15:18
;;;;;;;;;; 14:53;16:12
;;;;;;;;;; 15:15;16:18
;;;;;;;;;; 16:05;17:09
;;;;;;;;;; 16:56;18:13
;;;;;;;;;; 17:15;18:18
;;;;;;;;;; 17:54;19:12
;;;;;;;;;; 18:15;19:18
;;;;;;;;;; 18:20;19:25
;;;;;;;;;; 18:43;19:43
;;;;;;;;;; 19:08;19:58
10:35;;;;;13:48;;;;;;
12:15;;;;;15:30;;;;;;
14:35;;;;;17:38;;;;;;
17:09;;;;;20:02;;;;;;
18:55;;;;;22:05;;;;;;
22:35;;;;; 25:43;;;;;;
;;;;;;;;;;20:26;21:28
;;;;;;;;;;20:43;21:45
;;;;;;;;;;21:28 ;22:15
;;;;;;;;;;22:11;23:11
;;;;;;;;;;22:32;23:37
;;;;;;;;;;23:14; 24:01
;;;;;; 01:46;02:59;;;;
;;;;;; 03:55;05:29;;;;
;;;;;; 04:55;06:32;;;;
;;;;;; 05:25;06:38;;;;
;;;;;; 05:55;07:29;;;;
;;;;;; 06:25;07:39;;;;
;;;;;; 06:55;08:29;;;;
;;;;;; 07:20;08:34;;;;
;;;;;; 07:55;09:30;;;;
;;;;;; 08:22;09:35;;;;
;;;;;; 09:03;10:34;;;;
;;;;;; 09:25;10:38;;;;
;;;;;; 09:55;11:30;;;;
;;;;;; 10:55;12:29;;;;
;;;;;; 11:54;13:03;;;;
;;;;;; 11:59;13:29;;;;
;;;;;; 12:24;13:38;;;;
;;;;;; 12:55;14:29;;;;
;;;;;; 13:51;15:12;;;;
;;;;;; 13:56;15:29;;;;
;;;;;; 14:25;15:38;;;;
;;;;;; 14:55;16:29;;;;
;;;;;; 15:22;16:35;;;;
;;;;;; 15:55;17:29;;;;
;;;;;; 16:25;17:38;;;;
;;;;;; 16:55;18:29;;;;
;;;;;; 17:41;19:00;;;;
;;;;;; 17:55;19:29;;;;
;;;;;; 18:38;19:52;;;;
;;;;;; 18:55;20:29;;;;
;;;;;; 19:55;21:29;;;;
;;;;;; 20:55;22:29;;;;
;;;;;; 22:08;23:42;;;;
05:50;;;07:36;07:37;;;;;;;12:55
05:55;;;;;;;08:42;08:45;10:36;10:37;11:26
06:35;;;;;;;09:11;;;;
;;;;;;;;09:23;11:28;11:29;12:29
07:00;09:32;;;;;;;;;;
;;09:50;;;;;;;;;12:59
07:35;;;;;10:37;10:40;;;12:45;12:47;13:50
07:45;;;;;10:37 ;;;;;;
09:00;11:37;11:40;;;;;;;;;14:28
09:25;;;;;;;12:05;;;;
;;;;;;;12:31;;14:49;14:53;16:12
09:25;;;;;;;12:05;;;;
;;;;;;;;12:53;15:13;15:15;16:18
09:35;;;11:40;11:43;;;;;;;17:04
10:00;12:33;;;;;;;;;;
;;13:30;;;;;;;;;16:35
12:10;15:23;15:30;;;;;;;;;18:39
12:15;;;;;15:30;15:43;;;18:11;18:20;19:25
12:31;;;;;;;15:06;;;;
;;;;;;;;15:14;17:13;17:15;18:18
13:28;;;;;;;16:43;16:46;18:42;18:43;19:43
13:35;;;15:35;15:38;;;;;;;21:00
14:19;;;;;;;17:10;17:13;19:07;19:08;19:58
16:00;18:35;18:38;;;;;;;;;21:17
16:45;;;;;;;19:28;19:31;21:27;21:28;22:15
16:59;19:35;;;;;;;;;;
;;19:42;;;;;;;;;22:59
17:25;20:41;;;;;;;;;;
;;22:25;;;;;;;;;25:21:00
17:30;;;;;;;20:11;;;;
;;;;;;;;20:23;22:30;22:32;23:37
18:15;;;;;;;21:08;21:13;23:13;23:14;24:01:00
19:00;21:55;;;;;;;;;;
;;22:25;;;;;;;;;25:21:00
21:09;;;;;;;23:58;;;;
;;;;;;;;24:14:00;26:14:00;26:15:00;27:18:00
22:35;;;;;25:43:00;25:46:00;26:59:00;27:14:00;29:13:00;29:15:00;30:18:00
